STREET ID,STREET,FROM,TO,PCI
3900,CHANNING AVENUE,ALESTER AVENUE,HEATHER LANE,91
3910,CHANNING AVENUE,HEATHER LANE,RHODES DRIVE,87
3920,CHANNING AVENUE,RHODES DRIVE,GREER ROAD,95
3930,CHANNING AVENUE,GREER ROAD,WILDWOOD LANE,91
3940,CHANNING AVENUE,WILDWOOD LANE,SAINT FRANCIS  DRIVE,96
3950,CHANNING AVENUE,SAINT FRANCIS  DRIVE,SANDALWOOD  COURT,91
3960,CHANNING AVENUE,SANDALWOOD  COURT,EDGEWOOD DRIVE,91
3970,CHANNING AVENUE,EDGEWOOD DRIVE,W. BAYSHORE  ROAD,91
3975,CHAUCER STREET,CITY LIMIT,PALO ALTO AVENUE,47
3980,CHAUCER STREET,PALO ALTO AVENUE,UNIVERSITY  AVENUE,91
3990,CHAUCER STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,83
4000,CHERRY OAKS  AVENUE,ARASTRADERO  ROAD,END,93
4010,CHESTNUT  AVENUE,ASH STREET,BIRCH STREET,42
4020,CHESTNUT  AVENUE,BIRCH STREET,PARK BOULEVARD,31
4030,CHIMALUS DRIVE,MATADERO AVENUE,TIPPAWINGO  STREET,92
4040,CHIMALUS DRIVE,TIPPAWINGO  STREET,END,91
4050,CHRISTINE DRIVE,MIDDLEFIELD ROAD,ROSS ROAD,92
4060,CHRISTOPHER  COURT,DAKE AVENUE,END,97
4070,CHARLESTON  COURT,E. CHARLESTON  ROAD,END,86
4100,CHARLESTON  ROAD,ALMA STREET,WRIGHT PLACE,88
